receiver_code,lat,lon,n_events
B082,33.598182,-116.596005,37335
B084,33.61157,-116.45637,36298
B081,33.711167,-116.714167,24749
B087,33.4955,-116.602667,21788
B086,33.5575,-116.531,15733
B093,33.59369,-116.7641,15369
B918,35.9357,-117.6017,10662
B916,36.1925,-117.6685,9832
BZN,33.4915,-116.667,8342
CRY,33.5654,-116.7373,6746
B921,35.5865,-117.4622,6244
B917,35.4053,-117.2588,5215
KNW,33.7141,-116.7119,4089
BOR,33.2682,-116.41716,4051
FRD,33.4947,-116.6022,3880
BAR,32.68005,-116.67215,2984
DNR,33.56667,-116.63056,2862
PFO,33.6117,-116.4594,2287
JRC2,35.98249,-117.80885,2212
DGR,33.65001,-117.00947,2040
LVA2,33.3516,-116.5615,1985
BBR,34.2623,-116.92075,1749
CPE,32.8889,-117.1051,1747
MONP2,32.892,-116.4223,1729
RDM,33.63,-116.8478,1728
B073,35.9467,-120.4717,1548
B075,35.9292,-120.5153,1447
B076,35.9398,-120.4248,1279
BLA2,34.06931,-116.38993,1252
PKD,35.94517,-120.5416,1157
BEL,34.0006,-115.9982,1150
CWC,36.439047,-118.080495,1140
LEC,36.5627,-116.6905,1105
DPP,32.99889,-116.94187,1094
EML,32.89083,-116.84566,1054
GLA,33.05149,-114.82706,1028
B072,35.831,-120.345,985
B078,35.8377,-120.3452,984
ISA,35.66278,-118.47403,969
JEM,33.08098,-116.59755,947
CTC,33.65516,-115.99006,923
WMC,33.5736,-116.6747,878
SND,33.5519,-116.6129,860
PMD,33.64785,-116.37769,837
CLC,35.81574,-117.59751,807
TRO,33.5234,-116.4257,802
WBS,35.53664,-118.14035,775
DRE,32.80532,-115.44679,759
FHO,34.09355,-116.93588,756
OLP,32.60771,-116.93019,696
BFS,34.23883,-117.65853,687
AMD,36.4526,-116.2818,687
LRL,35.47954,-117.68212,684
HEL,36.7246,-116.9759,680
B900,35.686,-120.003,672
WCS2,36.02521,-117.76526,650
TPW,36.9016,-116.2528,641
SGR,36.9804,-117.0336,626
GOR,33.1537,-117.22921,593
CRR,32.88682,-115.96918,592
SMER,33.4577,-117.1708,575
JVA,34.36622,-116.61266,574
HMT2,33.708115,-117.001524,564
B901,35.6897,-120.142,553
BBS,33.92139,-116.98058,552
BC3,33.65515,-115.45366,539
CJM,34.27117,-117.42448,532
SDR,32.73561,-116.94241,523
B079,35.7157,-120.2057,497
SWS,32.94508,-115.79988,492
CCC,35.52495,-117.36453,488
WES,32.75904,-115.73161,483
CSH,33.6442,-116.5956,483
