Coverage,N,Delta_MAE_ST_minus_DS,CI95_low,CI95_high,P_boot_ST_better
2,20568,0.0047315042158699245,0.002876410366937799,0.00648434319455888,0.0
3,16065,0.002799551156481367,0.001211780050854668,0.004457467571741515,0.0
4,13150,0.0012259778255745485,-0.0003849643901160455,0.002919419167060476,0.07233333333333333
5,9306,0.0029067355020953667,0.0011446232642668573,0.004672543691779855,0.0006666666666666666
6,5255,-0.00015771781031456751,-0.0023618602302177038,0.0021637125135701603,0.5413333333333333
7,2934,-0.0015786762648321167,-0.004572842373997079,0.001463576040059916,0.853
8,1808,-0.00190061117332858,-0.005899527849242159,0.001908769452144942,0.8316666666666667
9,1086,0.0012316848142810088,-0.003911215616441562,0.006392924421386286,0.3253333333333333
10,780,-0.0011188056033391324,-0.007044895153779255,0.0048179605426505465,0.6376666666666667
11-15,1525,-0.004267145649331522,-0.00832466314513175,-4.985676876834049e-05,0.9753333333333334
>15,637,-0.008773474341471868,-0.016745529051291154,-0.0013327196497745024,0.991
