Fold,Regime,N,MAE_DS,MAE_ST,Delta_MAE_ST_minus_DS,Relative_gain_ST_pct
0,Sparse,11809,0.14781497653410658,0.15211924843683186,0.004304271902725282,-2.911932203116185
1,Sparse,11784,0.15237773357032566,0.1528073007070813,0.0004295671367556264,-0.2819093883932666
2,Sparse,11776,0.1457643857239695,0.1483866956158359,0.0026223098918664034,-1.79900589491881
3,Sparse,11863,0.14991550626234634,0.15180482683180607,0.0018893205694597293,-1.2602569384340345
4,Sparse,11857,0.1461470028472078,0.1525802962425658,0.006433293395358003,-4.401933170045104
0,Intermediate,2400,0.11966460749817391,0.12046593197000523,0.0008013244718313162,-0.6696420007424037
1,Intermediate,2435,0.12449058440018605,0.11837259187789546,-0.006117992522290588,4.914421883203437
2,Intermediate,2391,0.11774515500973827,0.11704933459335717,-0.000695820416381096,0.5909546055831744
3,Intermediate,2328,0.11574057180952933,0.11581632303061201,7.575122108267884e-05,-0.06544915054276756
4,Intermediate,2309,0.1147239064808246,0.11733520310896461,0.0026112966281400113,-2.276157348753177
0,Dense,414,0.11076724046058414,0.11002108101071659,-0.0007461594498675561,0.6736282738153728
1,Dense,404,0.1310365834817438,0.10846450589228385,-0.02257207758945995,17.225783052108287
2,Dense,456,0.10334539266401219,0.10410726635733196,0.0007618736933197728,-0.7372110876744281
3,Dense,432,0.12405412864905818,0.11512029798770394,-0.008933830661354239,7.201558512113304
4,Dense,456,0.10628999728023221,0.10814071993196481,0.0018507226517325975,-1.741201146946303
