Model,Coverage,N,MAE,RMSE,R2
DeepSets,2,20568,0.17657921786841335,0.24321654499187123,0.8722524361921552
SetTransformer,2,20568,0.18131072208428325,0.25170768113714737,0.8631769288156833
MeanPool-MLP,2,20568,0.2132032354036654,0.2880117625051856,0.8208623606589827
DeepSets,3,16065,0.1463071822352566,0.2023846874193471,0.901758346172744
SetTransformer,3,16065,0.14910673339173797,0.20836277700113515,0.8958688563720081
MeanPool-MLP,3,16065,0.1863261898516347,0.252494266396706,0.8470873532553957
DeepSets,4,13150,0.1283015279680094,0.1820626093146242,0.9141095573584573
SetTransformer,4,13150,0.12952750579358394,0.18348137640636175,0.9127656972426297
MeanPool-MLP,4,13150,0.16668721442935924,0.22801479235324834,0.8652808417608573
DeepSets,5,9306,0.11815269843249065,0.16598836496898178,0.9314393175164022
SetTransformer,5,9306,0.12105943393458603,0.1699500338969741,0.9281275665994081
MeanPool-MLP,5,9306,0.16065280599863477,0.21783640341980673,0.8819188010917945
SetTransformer,>=6,14025,0.11648151724454872,0.16579559709941089,0.958627929124342
DeepSets,>=6,14025,0.1179451969014929,0.16997899452488638,0.9565137672921175
MeanPool-MLP,>=6,14025,0.16391540925544745,0.2249355028196798,0.9238487056260234
