Model,Coverage,N,MAE,RMSE,R2
DeepSets,2,20568,0.17657921786841335,0.24321654499187123,0.8722524361921552
MeanPool-MLP,2,20568,0.2132032354036654,0.2880117625051856,0.8208623606589827
SetTransformer,2,20568,0.18131072208428325,0.25170768113714737,0.8631769288156833
DeepSets,3,16065,0.1463071822352566,0.2023846874193471,0.901758346172744
MeanPool-MLP,3,16065,0.1863261898516347,0.252494266396706,0.8470873532553957
SetTransformer,3,16065,0.14910673339173797,0.20836277700113515,0.8958688563720081
DeepSets,4,13150,0.1283015279680094,0.1820626093146242,0.9141095573584573
MeanPool-MLP,4,13150,0.16668721442935924,0.22801479235324837,0.8652808417608573
SetTransformer,4,13150,0.12952750579358394,0.18348137640636178,0.9127656972426297
DeepSets,5,9306,0.11815269843249065,0.16598836496898178,0.9314393175164022
MeanPool-MLP,5,9306,0.16065280599863477,0.21783640341980676,0.8819188010917945
SetTransformer,5,9306,0.12105943393458603,0.16995003389697413,0.9281275665994081
DeepSets,6,5255,0.1161665638180345,0.16482015007656295,0.9417079663278527
MeanPool-MLP,6,5255,0.16354391237953014,0.22187423421674002,0.8943663370759014
SetTransformer,6,5255,0.11600884600771993,0.16348343427814285,0.9426496462305767
DeepSets,7,2934,0.11931128002609233,0.16763541935797216,0.9491206851206198
MeanPool-MLP,7,2934,0.16377622527073518,0.22111701666178998,0.9114774294640667
SetTransformer,7,2934,0.11773260376126021,0.16342094625392553,0.9516468105678948
DeepSets,8,1808,0.12068815588893418,0.17968907725294672,0.946490939282587
MeanPool-MLP,8,1808,0.16386151663439794,0.2315708757864735,0.9111306820971437
SetTransformer,8,1808,0.11878754471560561,0.17773804549181615,0.9476466145394999
DeepSets,9,1086,0.11899602388479433,0.1814878015930835,0.9478107936133531
MeanPool-MLP,9,1086,0.16157156012225107,0.23187779713957227,0.9148069543251461
SetTransformer,9,1086,0.12022770869907534,0.179402264233723,0.949003349428258
DeepSets,10,780,0.12596332260097068,0.190031110540431,0.9463351479239221
MeanPool-MLP,10,780,0.17270436284299462,0.24225469858308804,0.9127862537503384
SetTransformer,10,780,0.12484451699763156,0.18283857483249655,0.9503206186799872
DeepSets,11-15,1525,0.11512040905288008,0.15830826259876488,0.963325498598084
MeanPool-MLP,11-15,1525,0.16074217869610083,0.21567255355610332,0.93193140072016
SetTransformer,11-15,1525,0.11085326340354856,0.1503052039911693,0.9669398296023558
DeepSets,>15,637,0.11369374389738268,0.17488724742686496,0.9450458355299057
MeanPool-MLP,>15,637,0.16860494256206734,0.23576217155588314,0.9001305701490053
SetTransformer,>15,637,0.10492026955591079,0.14887703794369644,0.9601764691136652
