Model,Fold,N,MAE,RMSE,R2,Epochs
MeanPool-MLP,0,14623,0.18434012740285402,0.252489439804901,0.871292312439475,141
MeanPool-MLP,1,14623,0.1818311975609453,0.24719541559809766,0.8756019219819736,180
MeanPool-MLP,2,14623,0.18177812632675422,0.24849253474319935,0.8748818367577055,150
MeanPool-MLP,3,14623,0.18244431541134254,0.25022707939296734,0.876081092959182,163
MeanPool-MLP,4,14622,0.18354751965834326,0.250957273366517,0.8737952458630512,159
DeepSets,0,14623,0.1421459176254916,0.20194074260145253,0.9176685151523896,149
DeepSets,1,14623,0.14714440026901424,0.20493731852105085,0.9144982615811985,119
DeepSets,2,14623,0.13986019086155635,0.19812582682037988,0.9204617828677565,149
DeepSets,3,14623,0.14371080390748767,0.20337825444818428,0.9181388216961102,179
DeepSets,4,14622,0.13994191981831164,0.19965518708975605,0.9201201324047328,200
SetTransformer,0,14623,0.14573228264083954,0.20876647029267878,0.9120087379114732,69
SetTransformer,1,14623,0.14584819483932188,0.20526312980713962,0.9142261825322279,70
SetTransformer,2,14623,0.14188193941350913,0.2022297366746075,0.9171326023185755,88
SetTransformer,3,14623,0.14499165899279684,0.20668733991395447,0.9154532900351222,67
SetTransformer,4,14622,0.14562875973298303,0.2061555398777539,0.9148340176004672,65
