Model,Fold,N,MAE,RMSE,R2,Epochs
Random-GATv2,0,14623,0.18999961018562317,0.2514486215043906,0.8723512887954712,85
Geo-GATv2,0,14623,0.20135095715522766,0.2671425748165881,0.8559198379516602,61
FeatureSim-GATv2,0,14623,0.20759625732898712,0.2715289950580634,0.8511494398117065,52
Geo-GCN,0,14623,0.22687745094299316,0.2982606673495349,0.8203985095024109,63
Random-GATv2,1,14623,0.19559098780155182,0.26103826564502447,0.861279308795929,45
Geo-GATv2,1,14623,0.2044999748468399,0.2698763007017368,0.8517268896102905,44
FeatureSim-GATv2,1,14623,0.1982952505350113,0.2652262612002088,0.8567924499511719,38
Geo-GCN,1,14623,0.21186445653438568,0.2804594851267907,0.8398698568344116,59
Random-GATv2,2,14623,0.1872609555721283,0.2493618255495778,0.8740049004554749,82
Geo-GATv2,2,14623,0.199222594499588,0.26557987895776236,0.8570829629898071,34
FeatureSim-GATv2,2,14623,0.19480659067630768,0.2618967418931542,0.861019492149353,37
Geo-GCN,2,14623,0.2167196422815323,0.2849955563240629,0.8354227542877197,46
Random-GATv2,3,14623,0.19006170332431793,0.25540362236625075,0.8709009289741516,53
Geo-GATv2,3,14623,0.20523452758789062,0.2702910177702211,0.8554120063781738,67
FeatureSim-GATv2,3,14623,0.19577398896217346,0.26172828656941616,0.864427924156189,51
Geo-GCN,3,14623,0.21596217155456543,0.2851508806324069,0.8390768766403198,55
Random-GATv2,4,14622,0.19768407940864563,0.26432173435842493,0.8599955439567566,54
Geo-GATv2,4,14622,0.20101572573184967,0.26682790293748243,0.8573280572891235,45
FeatureSim-GATv2,4,14622,0.20031078159809113,0.2712667127813433,0.8525416851043701,35
Geo-GCN,4,14622,0.21641458570957184,0.2882263875720939,0.8335270881652832,35
